Date,Page Title,Age,Gender,Source / Medium,Pageviews,Unique Pageviews
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,m.facebook.com / referral,35541,31670
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,m.facebook.com / referral,29730,26236
20190608,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,m.facebook.com / referral,21249,18923
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,45-54,female,m.facebook.com / referral,18858,16825
20190608,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,m.facebook.com / referral,18157,15970
20190620,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,16874,14081
20190612,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,m.facebook.com / referral,16753,14851
20190613,Jennifer Lopez Wore 2019's Biggest Grandma Trend | Who What Wear,35-44,female,m.facebook.com / referral,16466,15210
20190605,Jennifer Lopez Wore a Belted Blazer With Skinny Jeans | Who What Wear,35-44,female,m.facebook.com / referral,15739,14289
20190602,These Stylish Summer Outfits Are Surprisingly Affordable | Who What Wear,25-34,female,m.facebook.com / referral,15429,13141
20190607,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,m.facebook.com / referral,14798,13172
20190604,The 19 Best Shopping Picks for May 2019 | Who What Wear,25-34,female,newsletter / email,14276,11435
20190616,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,35-44,female,m.facebook.com / referral,14046,11251
20190618,Jennifer Aniston Wore the Wedge-Heel Shoe Trend | Who What Wear,35-44,female,m.facebook.com / referral,13825,12087
20190611,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,55-64,female,from.flipboard.com / referral,13721,9766
20190610,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,m.facebook.com / referral,13709,12285
20190617,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,35-44,female,m.facebook.com / referral,13524,10752
20190610,The 7 Most Important Summer Fashion Trends of 2019 | Who What Wear,35-44,female,m.facebook.com / referral,13513,11608
20190602,Summer Beauty Buys | Who What Wear,25-34,female,m.facebook.com / referral,13470,11792
20190613,Jennifer Lopez Wore 2019's Biggest Grandma Trend | Who What Wear,45-54,female,m.facebook.com / referral,13162,12236
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,55-64,female,m.facebook.com / referral,12219,11030
20190607,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,m.facebook.com / referral,12203,10787
20190601,These Stylish Summer Outfits Are Surprisingly Affordable | Who What Wear,25-34,female,m.facebook.com / referral,12194,10322
20190605,Jennifer Lopez Wore a Belted Blazer With Skinny Jeans | Who What Wear,45-54,female,m.facebook.com / referral,12194,11081
20190611,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,45-54,female,from.flipboard.com / referral,12160,8882
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,facebook.com / social,11763,10211
20190612,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,m.facebook.com / referral,11687,10293
20190625,"33 Items New York Girls Buy From H&M, Topshop, and ASOS | Who What Wear",25-34,female,newsletter / email,11524,9490
20190608,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,45-54,female,m.facebook.com / referral,11342,10188
20190601,Summer Beauty Buys | Who What Wear,25-34,female,m.facebook.com / referral,11298,10040
20190610,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,m.facebook.com / referral,11114,9827
20190619,6 Makeup Tips for Women Over 40 From a Makeup Artist | Who What Wear,35-44,female,m.facebook.com / referral,11020,9769
20190603,Summer Beauty Buys | Who What Wear,25-34,female,m.facebook.com / referral,10889,9682
20190621,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,10868,9040
20190611,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,m.facebook.com / referral,10652,9491
